longueur_largeur:
50,30
Wall:
0,5;11,14;21,49
0,29
0,49
0,5;11,30
Sortie:
0,6
0,7
0,8
0,9
0,10
6,0
7,0
8,0
9,0
10,0
15,0
16,0
17,0
18,0
19,0
20,0
Obstacle:
8,8;20,20
Incendie:
Foule:
48,18
24,13
42,4
44,11
44,4
27,20
23,16
30,10
37,18
31,26
29,6
45,7
48,18
41,11
41,28
22,5
39,24
43,2
33,15
48,7
35,12
29,9
44,14
28,7
39,8
28,11
44,25
35,2
47,2
25,4
44,5
32,17
29,20
34,21
25,12
48,11
35,11
27,2
47,28
38,8
33,23
44,4
43,8
45,27
33,15
29,20
29,22
24,22
43,13
34,20
33,18
23,18
24,3
28,16
28,17
36,17
43,22
33,6
46,23
38,2
23,14
36,9
30,9
22,7
48,26
35,21
36,27
27,19
26,18
25,26
39,26
39,18
47,10
29,3
31,18
28,10
30,17
25,10
26,17
27,28
29,16
30,25
31,24
34,26
33,4
42,7
28,16
36,14
27,12
43,5
28,24
40,11
40,7
42,9
48,6
30,20
36,15
30,11
39,6
27,20
5,26
3,27
8,28
18,27
11,26
8,27
9,23
5,24
16,27
18,28
16,28
5,27
4,26
12,28
11,22
10,27
4,24
14,23
11,26
9,24
14,23
11,25
7,26
10,27
8,28
17,23
11,25
18,27
13,24
9,22
14,28
11,28
12,28
17,27
17,26
18,27
19,28
2,24
2,28
6,24
17,22
11,28
16,26
2,24
18,28
7,23
10,26
12,22
10,28
2,23
